persona,applied-macro/focus-quant,applied-macro/nfp-quant-readthrough,crossfire-review/adversary,crossfire-review/forager,crossfire-review/guard,derivatives-microstructure/almgren-chriss,derivatives-microstructure/as-market-maker,derivatives-microstructure/convexity-lab,derivatives-microstructure/lob-engine,derivatives-microstructure/ofi-signal,options-volatility/lattice-lab,options-volatility/lsmc-lab,options-volatility/monte-carlo-lab,options-volatility/pde-lab,options-volatility/smile-lab,options-volatility/vol-lab,rates-term-structure/g2pp-lab,rates-term-structure/lmm-lab,rates-term-structure/shortrate-lab,risk-portfolio/copula-lab,risk-portfolio/credit-lab,risk-portfolio/factor-lab,risk-portfolio/port-lab,risk-portfolio/var-lab,systems-cs/lsm-tree,systems-cs/mini-blas,systems-cs/nanograd,systems-cs/nanozero,systems-cs/pathtrace,systems-cs/raft-py,systems-cs/scrape-arsenal,systems-cs/tinycrypt,systems-cs/tinylang,systems-cs/tinysat,systems-cs/tinyspsc,systems-cs/tinytcp,timeseries-stat-trading/backtest-engine,timeseries-stat-trading/cointegration-lab,timeseries-stat-trading/hawkes-fit,timeseries-stat-trading/kalman-lab,timeseries-stat-trading/regression-lab,timeseries-stat-trading/tinystat,valuation-fundamentals/corpfin-lab,valuation-fundamentals/eqval-lab,valuation-fundamentals/fixedalt-lab,valuation-fundamentals/forensic-lab,valuation-fundamentals/fra-lab,valuation-fundamentals/tvm-lab
options-volatility/lattice-lab,0.8934,0.9098,0.9296,0.9419,0.9255,0.8968,0.8850,0.8805,0.9068,0.8978,0.0000,0.7930,0.8238,0.8299,0.8067,0.8279,0.8741,0.8672,0.8682,0.8767,0.8571,0.8714,0.8668,0.8627,0.9051,0.9057,0.8793,0.9010,0.8955,0.9126,0.8956,0.8919,0.9044,0.8914,0.9016,0.9051,0.8854,0.8887,0.8682,0.8777,0.8826,0.8750,0.8745,0.8709,0.8511,0.8896,0.8863,0.8689
options-volatility/lsmc-lab,0.8841,0.9058,0.9283,0.9390,0.9270,0.8881,0.8839,0.8821,0.8941,0.8854,0.7930,0.0000,0.8185,0.8238,0.8104,0.8178,0.8537,0.8621,0.8654,0.8671,0.8475,0.8562,0.8687,0.8553,0.9002,0.9009,0.8793,0.8801,0.8955,0.8975,0.8985,0.8919,0.8989,0.8895,0.8915,0.8948,0.8768,0.8747,0.8567,0.8774,0.8589,0.8620,0.8734,0.8768,0.8547,0.8809,0.8813,0.8640
options-volatility/monte-carlo-lab,0.8930,0.9103,0.9317,0.9437,0.9247,0.8915,0.8903,0.8873,0.9068,0.9064,0.8238,0.8185,0.0000,0.8334,0.8424,0.8276,0.8576,0.8722,0.8459,0.8737,0.8648,0.8690,0.8583,0.8543,0.8881,0.8978,0.8886,0.8811,0.8853,0.9057,0.9037,0.9069,0.9074,0.8966,0.8909,0.8853,0.8939,0.8761,0.8614,0.8691,0.8764,0.8601,0.8886,0.8837,0.8750,0.8859,0.8794,0.8469
options-volatility/pde-lab,0.8767,0.9038,0.9164,0.9226,0.9094,0.8863,0.8862,0.8474,0.8875,0.8829,0.8299,0.8238,0.8334,0.0000,0.8101,0.8258,0.8629,0.8615,0.8432,0.8737,0.8702,0.8739,0.8514,0.8488,0.8801,0.8861,0.8679,0.8718,0.8680,0.8739,0.8870,0.8807,0.8844,0.8648,0.8774,0.8690,0.8729,0.8620,0.8463,0.8627,0.8789,0.8491,0.8671,0.8588,0.8489,0.8654,0.8681,0.8559
options-volatility/smile-lab,0.8938,0.9098,0.9246,0.9321,0.9088,0.8892,0.8762,0.8677,0.8905,0.8866,0.8067,0.8104,0.8424,0.8101,0.0000,0.8060,0.8312,0.8457,0.8458,0.8485,0.8582,0.8550,0.8485,0.8396,0.8965,0.8903,0.8692,0.8711,0.8897,0.8821,0.8973,0.8886,0.8951,0.8780,0.8821,0.8862,0.8821,0.8691,0.8458,0.8588,0.8645,0.8492,0.8678,0.8581,0.8499,0.8660,0.8693,0.8506
options-volatility/vol-lab,0.8785,0.9048,0.9348,0.9348,0.9304,0.8973,0.8921,0.8873,0.9020,0.8916,0.8279,0.8178,0.8276,0.8258,0.8060,0.0000,0.8537,0.8722,0.8561,0.8647,0.8678,0.8586,0.8563,0.8407,0.8945,0.9108,0.8753,0.8864,0.8991,0.8887,0.8991,0.8952,0.8976,0.8748,0.8892,0.8881,0.8762,0.8526,0.8216,0.8366,0.8596,0.8401,0.8738,0.8594,0.8626,0.8809,0.8825,0.8586
rates-term-structure/g2pp-lab,0.8715,0.9013,0.9255,0.9242,0.9130,0.8689,0.8669,0.8339,0.8917,0.8773,0.8741,0.8537,0.8576,0.8629,0.8312,0.8537,0.0000,0.7894,0.7620,0.8611,0.8511,0.8556,0.8701,0.8490,0.8846,0.8958,0.8715,0.8721,0.8728,0.8932,0.8945,0.8696,0.8820,0.8820,0.8807,0.8866,0.8669,0.8675,0.8589,0.8701,0.8627,0.8622,0.8603,0.8550,0.8471,0.8728,0.8700,0.8418
rates-term-structure/lmm-lab,0.8830,0.8934,0.9317,0.9311,0.9140,0.8823,0.8651,0.8571,0.8760,0.8786,0.8672,0.8621,0.8722,0.8615,0.8457,0.8722,0.7894,0.0000,0.8090,0.8683,0.8535,0.8580,0.8564,0.8608,0.8843,0.8880,0.8798,0.8843,0.8874,0.8830,0.9002,0.8817,0.8944,0.8887,0.8792,0.8849,0.8760,0.8792,0.8640,0.8615,0.8639,0.8684,0.8646,0.8748,0.8488,0.8766,0.8693,0.8507
rates-term-structure/shortrate-lab,0.8611,0.8989,0.9213,0.9178,0.9057,0.8695,0.8674,0.8206,0.8893,0.8773,0.8682,0.8654,0.8459,0.8432,0.8458,0.8561,0.7620,0.8090,0.0000,0.8623,0.8422,0.8531,0.8576,0.8330,0.8746,0.8951,0.8753,0.8618,0.8632,0.8816,0.8973,0.8617,0.8781,0.8604,0.8689,0.8661,0.8768,0.8625,0.8497,0.8490,0.8627,0.8436,0.8617,0.8561,0.8338,0.8784,0.8693,0.8269
risk-portfolio/copula-lab,0.8870,0.8969,0.9224,0.9284,0.9194,0.8788,0.8721,0.8767,0.8767,0.8779,0.8767,0.8671,0.8737,0.8737,0.8485,0.8647,0.8611,0.8683,0.8623,0.0000,0.8166,0.8124,0.8406,0.8491,0.8942,0.8990,0.8701,0.8743,0.8888,0.8851,0.8835,0.8767,0.8894,0.8797,0.8918,0.8815,0.8731,0.8749,0.8521,0.8701,0.8581,0.8575,0.8863,0.8701,0.8743,0.8677,0.8773,0.8653
risk-portfolio/credit-lab,0.8690,0.8865,0.9220,0.9303,0.9095,0.8753,0.8674,0.8678,0.8672,0.8803,0.8571,0.8475,0.8648,0.8702,0.8582,0.8678,0.8511,0.8535,0.8422,0.8166,0.0000,0.8231,0.8350,0.8457,0.8815,0.8952,0.8755,0.8815,0.8862,0.8886,0.8847,0.8803,0.8868,0.8773,0.8862,0.8839,0.8708,0.8743,0.8529,0.8642,0.8708,0.8660,0.8714,0.8690,0.8571,0.8582,0.8696,0.8446
risk-portfolio/factor-lab,0.8732,0.8870,0.9153,0.9263,0.9049,0.8718,0.8768,0.8787,0.8639,0.8690,0.8714,0.8562,0.8690,0.8739,0.8550,0.8586,0.8556,0.8580,0.8531,0.8124,0.8231,0.0000,0.8160,0.8403,0.8921,0.8873,0.8641,0.8708,0.8909,0.8775,0.8789,0.8806,0.8824,0.8751,0.8854,0.8818,0.8629,0.8598,0.8586,0.8605,0.8507,0.8452,0.8592,0.8617,0.8629,0.8580,0.8629,0.8537
risk-portfolio/port-lab,0.8625,0.9013,0.9122,0.9219,0.9039,0.8782,0.8821,0.8639,0.8772,0.8736,0.8668,0.8687,0.8583,0.8514,0.8485,0.8563,0.8701,0.8564,0.8576,0.8406,0.8350,0.8160,0.0000,0.8044,0.8770,0.8779,0.8599,0.8618,0.8728,0.8735,0.8743,0.8709,0.8811,0.8680,0.8853,0.8784,0.8597,0.8466,0.8332,0.8459,0.8745,0.8325,0.8658,0.8534,0.8489,0.8579,0.8675,0.8448
risk-portfolio/var-lab,0.8605,0.8944,0.9084,0.9225,0.9084,0.8718,0.8710,0.8426,0.8760,0.8717,0.8627,0.8553,0.8543,0.8488,0.8396,0.8407,0.8490,0.8608,0.8330,0.8491,0.8457,0.8403,0.8044,0.0000,0.8682,0.8813,0.8619,0.8506,0.8749,0.8626,0.8737,0.8657,0.8670,0.8640,0.8675,0.8605,0.8590,0.8330,0.8257,0.8288,0.8589,0.8132,0.8584,0.8366,0.8462,0.8573,0.8656,0.8372
systems-cs/lsm-tree,0.8751,0.8994,0.9045,0.9174,0.9009,0.8852,0.8880,0.8866,0.8560,0.8835,0.9051,0.9002,0.8881,0.8801,0.8965,0.8945,0.8846,0.8843,0.8746,0.8942,0.8815,0.8921,0.8770,0.8682,0.0000,0.8683,0.8686,0.8622,0.8535,0.8457,0.8697,0.8702,0.8468,0.8349,0.8320,0.8299,0.8742,0.8708,0.8696,0.8794,0.8889,0.8649,0.8819,0.8810,0.8777,0.8803,0.8851,0.8724
systems-cs/mini-blas,0.8944,0.9113,0.9156,0.9184,0.9033,0.8973,0.8962,0.9012,0.8663,0.8866,0.9057,0.9009,0.8978,0.8861,0.8903,0.9108,0.8958,0.8880,0.8951,0.8990,0.8952,0.8873,0.8779,0.8813,0.8683,0.0000,0.8512,0.8525,0.8546,0.8731,0.8737,0.8893,0.8800,0.8724,0.8594,0.8697,0.8729,0.8813,0.8669,0.8786,0.8939,0.8765,0.8926,0.8877,0.8868,0.8797,0.8882,0.8875
systems-cs/nanograd,0.8726,0.9018,0.9046,0.9206,0.8966,0.8898,0.8827,0.8793,0.8808,0.8792,0.8793,0.8793,0.8886,0.8679,0.8692,0.8753,0.8715,0.8798,0.8753,0.8701,0.8755,0.8641,0.8599,0.8619,0.8686,0.8512,0.0000,0.8499,0.8559,0.8686,0.8714,0.8683,0.8712,0.8639,0.8619,0.8586,0.8636,0.8766,0.8646,0.8659,0.8739,0.8666,0.8913,0.8839,0.8773,0.8772,0.8800,0.8746
systems-cs/nanozero,0.8677,0.9098,0.9029,0.9159,0.9094,0.8811,0.8809,0.8790,0.8820,0.8798,0.9010,0.8801,0.8811,0.8718,0.8711,0.8864,0.8721,0.8843,0.8618,0.8743,0.8815,0.8708,0.8618,0.8506,0.8622,0.8525,0.8499,0.0000,0.8549,0.8641,0.8702,0.8781,0.8719,0.8577,0.8569,0.8598,0.8788,0.8807,0.8717,0.8735,0.8951,0.8766,0.8859,0.8709,0.8723,0.8809,0.8838,0.8766
systems-cs/pathtrace,0.8721,0.9033,0.9247,0.9254,0.9095,0.8863,0.8833,0.8680,0.8669,0.8848,0.8955,0.8955,0.8853,0.8680,0.8897,0.8991,0.8728,0.8874,0.8632,0.8888,0.8862,0.8909,0.8728,0.8749,0.8535,0.8546,0.8559,0.8549,0.0000,0.8784,0.8858,0.8729,0.8632,0.8666,0.8569,0.8390,0.8742,0.8756,0.8696,0.8804,0.8958,0.8670,0.8866,0.8736,0.8729,0.8852,0.8838,0.8731
systems-cs/raft-py,0.8697,0.9033,0.9026,0.9026,0.8960,0.8985,0.8956,0.8770,0.8748,0.8817,0.9126,0.8975,0.9057,0.8739,0.8821,0.8887,0.8932,0.8830,0.8816,0.8851,0.8886,0.8775,0.8735,0.8626,0.8457,0.8731,0.8686,0.8641,0.8784,0.0000,0.8835,0.8637,0.8684,0.8389,0.8324,0.8177,0.8689,0.8686,0.8806,0.8712,0.8901,0.8587,0.8906,0.8729,0.8784,0.8784,0.8819,0.8724
systems-cs/scrape-arsenal,0.8962,0.9058,0.9198,0.9291,0.9141,0.8875,0.8927,0.9043,0.8772,0.8864,0.8956,0.8985,0.9037,0.8870,0.8973,0.8991,0.8945,0.9002,0.8973,0.8835,0.8847,0.8789,0.8743,0.8737,0.8697,0.8737,0.8714,0.8702,0.8858,0.8835,0.0000,0.8835,0.8824,0.8881,0.8847,0.8754,0.8870,0.8939,0.8927,0.8893,0.8962,0.8881,0.8945,0.8950,0.8962,0.8864,0.8887,0.9037
systems-cs/tinycrypt,0.8860,0.9063,0.9181,0.9240,0.9096,0.8730,0.8774,0.8670,0.8826,0.8767,0.8919,0.8919,0.9069,0.8807,0.8886,0.8952,0.8696,0.8817,0.8617,0.8767,0.8803,0.8806,0.8709,0.8657,0.8702,0.8893,0.8683,0.8781,0.8729,0.8637,0.8835,0.0000,0.8663,0.8617,0.8604,0.8604,0.8794,0.8925,0.8794,0.8840,0.8727,0.8742,0.8820,0.8722,0.8781,0.8772,0.8807,0.8696
systems-cs/tinylang,0.8844,0.9098,0.9109,0.9171,0.8997,0.8962,0.8974,0.8832,0.8742,0.8941,0.9044,0.8989,0.9074,0.8844,0.8951,0.8976,0.8820,0.8944,0.8781,0.8894,0.8868,0.8824,0.8811,0.8670,0.8468,0.8800,0.8712,0.8719,0.8632,0.8684,0.8824,0.8663,0.0000,0.8475,0.8538,0.8440,0.8722,0.8858,0.8799,0.8781,0.8895,0.8697,0.8799,0.8776,0.8750,0.8902,0.8844,0.8683
systems-cs/tinysat,0.8688,0.9068,0.9060,0.9068,0.8956,0.8834,0.8897,0.8845,0.8711,0.8810,0.8914,0.8895,0.8966,0.8648,0.8780,0.8748,0.8820,0.8887,0.8604,0.8797,0.8773,0.8751,0.8680,0.8640,0.8349,0.8724,0.8639,0.8577,0.8666,0.8389,0.8881,0.8617,0.8475,0.0000,0.8269,0.8278,0.8709,0.8700,0.8771,0.8499,0.8901,0.8649,0.8839,0.8857,0.8777,0.8747,0.8807,0.8766
systems-cs/tinyspsc,0.8789,0.9053,0.8936,0.9105,0.8944,0.8904,0.8891,0.8928,0.8584,0.8841,0.9016,0.8915,0.8909,0.8774,0.8821,0.8892,0.8807,0.8792,0.8689,0.8918,0.8862,0.8854,0.8853,0.8675,0.8320,0.8594,0.8619,0.8569,0.8569,0.8324,0.8847,0.8604,0.8538,0.8269,0.0000,0.8305,0.8544,0.8744,0.8771,0.8679,0.8870,0.8711,0.8906,0.8810,0.8853,0.8840,0.8800,0.8800
systems-cs/tinytcp,0.8723,0.8954,0.8961,0.9094,0.8924,0.8852,0.8786,0.8784,0.8705,0.8767,0.9051,0.8948,0.8853,0.8690,0.8862,0.8881,0.8866,0.8849,0.8661,0.8815,0.8839,0.8818,0.8784,0.8605,0.8299,0.8697,0.8586,0.8598,0.8390,0.8177,0.8754,0.8604,0.8440,0.8278,0.8305,0.0000,0.8590,0.8744,0.8689,0.8646,0.8851,0.8697,0.8805,0.8776,0.8791,0.8797,0.8794,0.8759
timeseries-stat-trading/backtest-engine,0.8808,0.8934,0.9065,0.9157,0.8926,0.8735,0.8886,0.8775,0.8427,0.8618,0.8854,0.8768,0.8939,0.8729,0.8821,0.8762,0.8669,0.8760,0.8768,0.8731,0.8708,0.8629,0.8597,0.8590,0.8742,0.8729,0.8636,0.8788,0.8742,0.8689,0.8870,0.8794,0.8722,0.8709,0.8544,0.8590,0.0000,0.8557,0.8353,0.8531,0.8639,0.8314,0.8603,0.8524,0.8623,0.8679,0.8649,0.8650
timeseries-stat-trading/cointegration-lab,0.8700,0.8934,0.9012,0.9143,0.9063,0.8950,0.8962,0.8742,0.8875,0.8668,0.8887,0.8747,0.8761,0.8620,0.8691,0.8526,0.8675,0.8792,0.8625,0.8749,0.8743,0.8598,0.8466,0.8330,0.8708,0.8813,0.8766,0.8807,0.8756,0.8686,0.8939,0.8925,0.8858,0.8700,0.8744,0.8744,0.8557,0.0000,0.8161,0.7916,0.8564,0.8098,0.8745,0.8514,0.8633,0.8666,0.8706,0.8697
timeseries-stat-trading/hawkes-fit,0.8717,0.8914,0.9135,0.9238,0.8984,0.8782,0.8534,0.8593,0.8639,0.8693,0.8682,0.8567,0.8614,0.8463,0.8458,0.8216,0.8589,0.8640,0.8497,0.8521,0.8529,0.8586,0.8332,0.8257,0.8696,0.8669,0.8646,0.8717,0.8696,0.8806,0.8927,0.8794,0.8799,0.8771,0.8771,0.8689,0.8353,0.8161,0.0000,0.8195,0.8502,0.8264,0.8624,0.8534,0.8572,0.8697,0.8624,0.8483
timeseries-stat-trading/kalman-lab,0.8712,0.9053,0.8985,0.9073,0.9021,0.8881,0.8868,0.8756,0.8778,0.8798,0.8777,0.8774,0.8691,0.8627,0.8588,0.8366,0.8701,0.8615,0.8490,0.8701,0.8642,0.8605,0.8459,0.8288,0.8794,0.8786,0.8659,0.8735,0.8804,0.8712,0.8893,0.8840,0.8781,0.8499,0.8679,0.8646,0.8531,0.7916,0.8195,0.0000,0.8377,0.8146,0.8785,0.8547,0.8654,0.8660,0.8731,0.8579
timeseries-stat-trading/regression-lab,0.8901,0.9023,0.9226,0.9313,0.9139,0.8869,0.8856,0.8889,0.8875,0.8885,0.8826,0.8589,0.8764,0.8789,0.8645,0.8596,0.8627,0.8639,0.8627,0.8581,0.8708,0.8507,0.8745,0.8589,0.8889,0.8939,0.8739,0.8951,0.8958,0.8901,0.8962,0.8727,0.8895,0.8901,0.8870,0.8851,0.8639,0.8564,0.8502,0.8377,0.0000,0.8027,0.8739,0.8645,0.8683,0.8697,0.8683,0.8608
timeseries-stat-trading/tinystat,0.8580,0.8577,0.8959,0.9076,0.8877,0.8706,0.8780,0.8529,0.8772,0.8637,0.8750,0.8620,0.8601,0.8491,0.8492,0.8401,0.8622,0.8684,0.8436,0.8575,0.8660,0.8452,0.8325,0.8132,0.8649,0.8765,0.8666,0.8766,0.8670,0.8587,0.8881,0.8742,0.8697,0.8649,0.8711,0.8697,0.8314,0.8098,0.8264,0.8146,0.8027,0.0000,0.8544,0.8393,0.8434,0.8586,0.8518,0.8401
valuation-fundamentals/corpfin-lab,0.8872,0.9008,0.9215,0.9282,0.9101,0.8869,0.8944,0.8685,0.8917,0.8866,0.8745,0.8734,0.8886,0.8671,0.8678,0.8738,0.8603,0.8646,0.8617,0.8863,0.8714,0.8592,0.8658,0.8584,0.8819,0.8926,0.8913,0.8859,0.8866,0.8906,0.8945,0.8820,0.8799,0.8839,0.8906,0.8805,0.8603,0.8745,0.8624,0.8785,0.8739,0.8544,0.0000,0.7859,0.8034,0.8375,0.8116,0.8430
valuation-fundamentals/eqval-lab,0.8675,0.8919,0.9099,0.9240,0.9018,0.8759,0.8739,0.8447,0.8802,0.8680,0.8709,0.8768,0.8837,0.8588,0.8581,0.8594,0.8550,0.8748,0.8561,0.8701,0.8690,0.8617,0.8534,0.8366,0.8810,0.8877,0.8839,0.8709,0.8736,0.8729,0.8950,0.8722,0.8776,0.8857,0.8810,0.8776,0.8524,0.8514,0.8534,0.8547,0.8645,0.8393,0.7859,0.0000,0.8043,0.8325,0.7990,0.8258
valuation-fundamentals/fixedalt-lab,0.8668,0.9043,0.9100,0.9286,0.9093,0.8805,0.8786,0.8503,0.8814,0.8767,0.8511,0.8547,0.8750,0.8489,0.8499,0.8626,0.8471,0.8488,0.8338,0.8743,0.8571,0.8629,0.8489,0.8462,0.8777,0.8868,0.8773,0.8723,0.8729,0.8784,0.8962,0.8781,0.8750,0.8777,0.8853,0.8791,0.8623,0.8633,0.8572,0.8654,0.8683,0.8434,0.8034,0.8043,0.0000,0.8449,0.8034,0.8304
valuation-fundamentals/forensic-lab,0.8834,0.8875,0.9132,0.9274,0.9094,0.8724,0.8762,0.8766,0.8778,0.8662,0.8896,0.8809,0.8859,0.8654,0.8660,0.8809,0.8728,0.8766,0.8784,0.8677,0.8582,0.8580,0.8579,0.8573,0.8803,0.8797,0.8772,0.8809,0.8852,0.8784,0.8864,0.8772,0.8902,0.8747,0.8840,0.8797,0.8679,0.8666,0.8697,0.8660,0.8697,0.8586,0.8375,0.8325,0.8449,0.0000,0.8151,0.8542
valuation-fundamentals/fra-lab,0.8863,0.8994,0.9221,0.9271,0.9052,0.8747,0.8874,0.8851,0.8717,0.8804,0.8863,0.8813,0.8794,0.8681,0.8693,0.8825,0.8700,0.8693,0.8693,0.8773,0.8696,0.8629,0.8675,0.8656,0.8851,0.8882,0.8800,0.8838,0.8838,0.8819,0.8887,0.8807,0.8844,0.8807,0.8800,0.8794,0.8649,0.8706,0.8624,0.8731,0.8683,0.8518,0.8116,0.7990,0.8034,0.8151,0.0000,0.8461
valuation-fundamentals/tvm-lab,0.8552,0.8999,0.9214,0.9345,0.9117,0.8805,0.8622,0.8612,0.8790,0.8755,0.8689,0.8640,0.8469,0.8559,0.8506,0.8586,0.8418,0.8507,0.8269,0.8653,0.8446,0.8537,0.8448,0.8372,0.8724,0.8875,0.8746,0.8766,0.8731,0.8724,0.9037,0.8696,0.8683,0.8766,0.8800,0.8759,0.8650,0.8697,0.8483,0.8579,0.8608,0.8401,0.8430,0.8258,0.8304,0.8542,0.8461,0.0000
